timestamp,testName,stepName,url,LCP_ms,INP_ms,CLS,TTFB_ms,FCP_ms,TTI_ms,TBT_ms,documentCompleteTime_ms,pageLoadTime_ms,requestCount,totalPageSizeMB,dnsLookupTime_ms,FPS
2026-05-19T12:35:52.643Z,Benchmark Perforce Multi-Page User Journey,Main Landing Page,https://www.perforce.com/,568,120,0.2881,51.6,568,1309,N/A,3609.6,3620.3,257,13.4,0,60
2026-05-19T12:35:56.371Z,Benchmark Perforce Multi-Page User Journey,Browse Products,https://www.perforce.com/products,1508,N/A,0.1216,1271.8,1508,1724.3,N/A,2477.6,2477.9,136,3.12,0,60
2026-05-19T12:35:57.800Z,Benchmark Perforce Multi-Page User Journey,Digital IP Management,https://www.perforce.com/products#p-20457,1508,312,0.1216,1271.8,1508,1724.3,N/A,2477.6,2477.9,12,0,0,60
2026-05-19T12:36:01.035Z,Benchmark Perforce Multi-Page User Journey,Explore IPLM,https://www.perforce.com/products/helix-iplm,1312,N/A,0.0903,1005,1312,1474.7,N/A,2142.6,2144.5,149,2.28,0,60
2026-05-19T12:36:03.922Z,Benchmark Perforce Multi-Page User Journey,What’s New,https://www.perforce.com/products/helix-iplm/whats-new,996,N/A,0.0077,795.6,996,1159.2,N/A,1689.7,1690,129,1.82,0,60
2026-05-19T12:36:12.501Z,Benchmark Perforce Multi-Page User Journey,Perforce Software Popup Tab,https://www.perforce.com/,784,N/A,0.0492,14.9,784,981.4,N/A,4438.4,4460.1,19,0.02,0,60
2026-05-19T12:36:20.440Z,Benchmark Perforce Multi-Page User Journey,Main Landing Page,https://www.perforce.com/,360,88,0.2881,35.9,360,1063.2,N/A,3373,3388.4,256,12.71,0,60
2026-05-19T12:36:23.004Z,Benchmark Perforce Multi-Page User Journey,Browse Products,https://www.perforce.com/products,284,N/A,0.1216,29.4,284,530.1,N/A,1250.2,1250.4,120,2.62,0,60
2026-05-19T12:36:24.325Z,Benchmark Perforce Multi-Page User Journey,Digital IP Management,https://www.perforce.com/products#p-20457,284,104,0.1216,29.4,284,530.1,N/A,1250.2,1250.4,12,0,0,60
2026-05-19T12:36:26.624Z,Benchmark Perforce Multi-Page User Journey,Explore IPLM,https://www.perforce.com/products/helix-iplm,404,N/A,0.0903,33,404,504,N/A,1216.9,1220.1,150,2.37,0,60
2026-05-19T12:36:28.653Z,Benchmark Perforce Multi-Page User Journey,What’s New,https://www.perforce.com/products/helix-iplm/whats-new,320,N/A,0.0074,29.4,320,379.8,N/A,917.5,917.9,118,1.73,0,60
2026-05-19T12:36:37.316Z,Benchmark Perforce Multi-Page User Journey,Perforce Software Popup Tab,https://www.perforce.com/,260,N/A,0.0561,0.1,260,396.3,N/A,4009.8,4032.1,20,0.02,0,60
2026-05-19T12:36:45.252Z,Benchmark Perforce Multi-Page User Journey,Main Landing Page,https://www.perforce.com/,320,56,0.2881,32.2,320,1097,N/A,3265.8,3278,258,13.15,0,60
2026-05-19T12:36:47.907Z,Benchmark Perforce Multi-Page User Journey,Browse Products,https://www.perforce.com/products,220,N/A,0.1216,30.4,220,501.1,N/A,1366.6,1366.9,119,2.53,0,60
2026-05-19T12:36:49.222Z,Benchmark Perforce Multi-Page User Journey,Digital IP Management,https://www.perforce.com/products#p-20457,220,96,0.1216,30.4,220,501.1,N/A,1366.6,1366.9,15,0.09,0,60
2026-05-19T12:36:51.492Z,Benchmark Perforce Multi-Page User Journey,Explore IPLM,https://www.perforce.com/products/helix-iplm,396,N/A,0.0903,30.9,396,532.9,N/A,1191.7,1193.9,144,2.37,0,60
