timestamp,testName,stepName,url,LCP_ms,INP_ms,CLS,TTFB_ms,FCP_ms,TTI_ms,TBT_ms,documentCompleteTime_ms,pageLoadTime_ms,requestCount,totalPageSizeMB,dnsLookupTime_ms,FPS
2026-05-19T12:35:53.524Z,Benchmark Perforce Multi-Page User Journey,Main Landing Page,https://www.perforce.com/,1024,64,0.0069,40.3,1024,1308.9,N/A,3545.7,3560.9,261,13.33,0,60
2026-05-19T12:35:56.469Z,Benchmark Perforce Multi-Page User Journey,Browse Products,https://www.perforce.com/products,748,N/A,0.0095,249.5,748,843.5,N/A,1585.6,1586,118,2.62,0,60
2026-05-19T12:35:57.795Z,Benchmark Perforce Multi-Page User Journey,Digital IP Management,https://www.perforce.com/products#p-20457,748,168,0.0095,249.5,748,843.5,N/A,1585.6,1586,15,0,0,60
2026-05-19T12:36:00.861Z,Benchmark Perforce Multi-Page User Journey,Explore IPLM,https://www.perforce.com/products/helix-iplm,1284,N/A,0.0903,960.7,1284,1421.9,N/A,1992.6,1993.6,147,2.35,0,60
2026-05-19T12:36:04.488Z,Benchmark Perforce Multi-Page User Journey,What’s New,https://www.perforce.com/products/helix-iplm/whats-new,1244,N/A,0.0074,967.4,1244,1321.8,N/A,2458.5,2460.1,130,1.78,0,60
2026-05-19T12:36:12.572Z,Benchmark Perforce Multi-Page User Journey,Perforce Software Popup Tab,https://www.perforce.com/,148,N/A,0.0492,N/A,148,374.1,N/A,3740.8,3784.8,14,0,0,60
2026-05-19T12:36:20.491Z,Benchmark Perforce Multi-Page User Journey,Main Landing Page,https://www.perforce.com/,400,88,0.2881,37.7,400,1066.9,N/A,3365.2,3378.7,264,12.71,0,60
2026-05-19T12:36:23.007Z,Benchmark Perforce Multi-Page User Journey,Browse Products,https://www.perforce.com/products,296,N/A,0.1216,47.5,296,521,N/A,1247.2,1247.4,119,2.62,0,60
2026-05-19T12:36:24.370Z,Benchmark Perforce Multi-Page User Journey,Digital IP Management,https://www.perforce.com/products#p-20457,296,224,0.1216,47.5,296,521,N/A,1247.2,1247.4,11,0,0,60
2026-05-19T12:36:26.536Z,Benchmark Perforce Multi-Page User Journey,Explore IPLM,https://www.perforce.com/products/helix-iplm,384,N/A,0.0903,42.5,384,479.4,N/A,1080,1080.9,140,2.3,0,60
2026-05-19T12:36:29.309Z,Benchmark Perforce Multi-Page User Journey,What’s New,https://www.perforce.com/products/helix-iplm/whats-new,460,N/A,0.0074,44,460,512.5,N/A,1619.2,1621,119,1.77,0,60
2026-05-19T12:36:37.379Z,Benchmark Perforce Multi-Page User Journey,Perforce Software Popup Tab,https://www.perforce.com/,220,N/A,0.0492,0.1,220,369.1,N/A,3695.3,3738.1,14,0,0,60
2026-05-19T12:36:45.229Z,Benchmark Perforce Multi-Page User Journey,Main Landing Page,https://www.perforce.com/,400,104,0.2881,53.3,400,1104.9,N/A,3302,3313.2,264,13.6,0,60
2026-05-19T12:36:47.838Z,Benchmark Perforce Multi-Page User Journey,Browse Products,https://www.perforce.com/products,264,N/A,0.1216,36.2,264,494.9,N/A,1234.3,1234.6,117,2.62,0,60
2026-05-19T12:36:49.260Z,Benchmark Perforce Multi-Page User Journey,Digital IP Management,https://www.perforce.com/products#p-20457,264,192,0.1216,36.2,264,494.9,N/A,1234.3,1234.6,10,0,0,60
2026-05-19T12:36:51.600Z,Benchmark Perforce Multi-Page User Journey,Explore IPLM,https://www.perforce.com/products/helix-iplm,436,N/A,0.0903,37.6,436,521,N/A,1230.5,1232.3,145,2.4,0,60
2026-05-19T12:36:54.450Z,Benchmark Perforce Multi-Page User Journey,What’s New,https://www.perforce.com/products/helix-iplm/whats-new,444,N/A,0.0077,57.4,444,561.7,N/A,1669.3,1671.5,120,1.76,0,60
2026-05-19T12:37:02.619Z,Benchmark Perforce Multi-Page User Journey,Perforce Software Popup Tab,https://www.perforce.com/,160,N/A,0.0492,0.1,160,300.5,N/A,3760.3,3802.6,14,0,0,60
2026-05-19T12:37:10.333Z,Benchmark Perforce Multi-Page User Journey,Main Landing Page,https://www.perforce.com/,416,88,0.2881,48.2,416,1119.3,N/A,3364.9,3377.3,253,12.39,0,60
2026-05-19T12:37:12.866Z,Benchmark Perforce Multi-Page User Journey,Browse Products,https://www.perforce.com/products,276,N/A,0.1216,36.4,276,481.5,N/A,1229.8,1230,124,3.11,0,60
2026-05-19T12:37:14.255Z,Benchmark Perforce Multi-Page User Journey,Digital IP Management,https://www.perforce.com/products#p-20457,276,216,0.1216,36.4,276,481.5,N/A,1229.8,1230,14,0,0,60
2026-05-19T12:37:16.487Z,Benchmark Perforce Multi-Page User Journey,Explore IPLM,https://www.perforce.com/products/helix-iplm,408,N/A,0.0903,33.3,408,511.7,N/A,1167,1168.2,141,2.27,0,60
2026-05-19T12:37:19.406Z,Benchmark Perforce Multi-Page User Journey,What’s New,https://www.perforce.com/products/helix-iplm/whats-new,304,N/A,0.0077,48.5,304,528.9,N/A,1750.6,1752.9,122,1.86,0,60
2026-05-19T12:37:27.394Z,Benchmark Perforce Multi-Page User Journey,Perforce Software Popup Tab,https://www.perforce.com/,156,N/A,0.0493,N/A,156,291.8,N/A,3666.9,3703.8,14,0,0,60
2026-05-19T12:37:35.096Z,Benchmark Perforce Multi-Page User Journey,Main Landing Page,https://www.perforce.com/,332,80,0.2881,32.1,332,1047.6,N/A,3163.5,3181.5,264,13.33,0,60
2026-05-19T12:37:37.647Z,Benchmark Perforce Multi-Page User Journey,Browse Products,https://www.perforce.com/products,228,N/A,0.1216,31.2,228,507.2,N/A,1261.8,1262,114,2.62,0,60
2026-05-19T12:37:38.952Z,Benchmark Perforce Multi-Page User Journey,Digital IP Management,https://www.perforce.com/products#p-20457,228,104,0.1216,31.2,228,507.2,N/A,1261.8,1262,15,0,0,60
2026-05-19T12:37:41.707Z,Benchmark Perforce Multi-Page User Journey,Explore IPLM,https://www.perforce.com/products/helix-iplm,416,N/A,0.0903,33.4,416,504.8,N/A,1657.9,1664.3,152,2.37,0,60
2026-05-19T12:37:43.855Z,Benchmark Perforce Multi-Page User Journey,What’s New,https://www.perforce.com/products/helix-iplm/whats-new,248,N/A,0.0011,30.8,248,400.2,N/A,1010.3,1010.5,113,1.73,0,60
2026-05-19T12:37:52.041Z,Benchmark Perforce Multi-Page User Journey,Perforce Software Popup Tab,https://www.perforce.com/,216,N/A,0.0492,N/A,216,338.1,N/A,3865.6,3903.1,18,0.02,0,60
2026-05-19T12:37:59.867Z,Benchmark Perforce Multi-Page User Journey,Main Landing Page,https://www.perforce.com/,324,112,0.2881,45.6,324,1060.8,N/A,3293.3,3305.6,258,13.27,0,60
2026-05-19T12:38:02.468Z,Benchmark Perforce Multi-Page User Journey,Browse Products,https://www.perforce.com/products,280,N/A,0.1216,36.5,280,541.1,N/A,1237,1238.3,120,3.45,0,60
2026-05-19T12:38:03.866Z,Benchmark Perforce Multi-Page User Journey,Digital IP Management,https://www.perforce.com/products#p-20457,280,160,0.1216,36.5,280,541.1,N/A,1237,1238.3,15,0,0,60
2026-05-19T12:38:05.985Z,Benchmark Perforce Multi-Page User Journey,Explore IPLM,https://www.perforce.com/products/helix-iplm,304,N/A,0.0903,33.6,304,503.1,N/A,1057,1058,144,2.39,0,60
2026-05-19T12:38:08.663Z,Benchmark Perforce Multi-Page User Journey,What’s New,https://www.perforce.com/products/helix-iplm/whats-new,428,N/A,0.0074,31.2,428,465.2,N/A,1550,1551.9,121,1.77,0,60
2026-05-19T12:38:16.672Z,Benchmark Perforce Multi-Page User Journey,Perforce Software Popup Tab,https://www.perforce.com/,392,N/A,0.0492,9,392,744.7,N/A,4089,4137.6,14,0,0,60
2026-05-19T12:38:24.451Z,Benchmark Perforce Multi-Page User Journey,Main Landing Page,https://www.perforce.com/,356,72,0.2881,45.4,356,1042.7,N/A,3290.7,3316.9,254,13.07,0,60
2026-05-19T12:38:27.109Z,Benchmark Perforce Multi-Page User Journey,Browse Products,https://www.perforce.com/products,272,N/A,0.1474,33.2,272,550.1,N/A,1305.6,1305.9,117,2.62,0,60
2026-05-19T12:38:28.666Z,Benchmark Perforce Multi-Page User Journey,Digital IP Management,https://www.perforce.com/products#p-20457,272,264,0.1474,33.2,272,550.1,N/A,1305.6,1305.9,17,0.09,0,60
2026-05-19T12:38:30.895Z,Benchmark Perforce Multi-Page User Journey,Explore IPLM,https://www.perforce.com/products/helix-iplm,408,N/A,0.0903,49.1,408,485.6,N/A,1153.4,1154.9,138,2.28,0,60
